Definition Name                           ;Attribut Name                                    ;Attribut Type                                      ;Moegliche Enum Werte
                                          ;taetigSeit                                       ;string(date)                                       ;
                                          ;taetigkeit                                       ;string                                             ;
BestehendeImmobilie                       ;                                                 ;                                                   ;
                                          ;adresse                                          ;Postadresse                                        ;
                                          ;autostellplaetze                                 ;array of Autostellplatz                            ;
                                          ;bestehendeDarlehen                               ;array of BestehendesDarlehen                       ;
                                          ;erbbaurecht                                      ;Erbbaurecht                                        ;
                                          ;gebaeude                                         ;Gebaeude                                           ;
                                          ;grundbuchAngabe                                  ;GrundbuchAngabe                                    ;
                                          ;grundstueck                                      ;Grundstueck                                        ;
                                          ;id                                               ;string                                             ;
                                          ;immobilienEinsatz                                ;enum                                               ;
                                          ;                                                 ;                                                   ;KEIN_EINSATZ
                                          ;                                                 ;                                                   ;VERKAUFEN
                                          ;                                                 ;                                                   ;ALS_ZUSATZSICHERHEIT
                                          ;kommentar                                        ;string                                             ;
                                          ;maximalEinzusetzenderBetragWennVerkauf           ;number                                             ;
                                          ;objektArt                                        ;enum                                               ;
                                          ;                                                 ;                                                   ;GRUNDSTUECK
                                          ;                                                 ;                                                   ;EIGENTUMSWOHNUNG
                                          ;                                                 ;                                                   ;HAUS
                                          ;verkehrswert                                     ;number                                             ;
BestehenderBausparvertrag                 ;                                                 ;                                                   ;
                                          ;abschlussGebuehr                                 ;number                                             ;
                                          ;aktuellerWert                                    ;number                                             ;
                                          ;bausparSumme                                     ;number                                             ;
                                          ;einmalzahlung                                    ;number                                             ;
                                          ;id                                               ;string                                             ;
                                          ;maximalAufzuloesenderBetrag                      ;number                                             ;
                                          ;produktAnbieter                                  ;ProduktAnbieter                                    ;
                                          ;sparBeitragMonatlich                             ;number                                             ;
                                          ;tarif                                            ;string                                             ;
                                          ;typ                                              ;string                                             ;
                                          ;vermoegensEinsatz                                ;enum                                               ;
                                          ;                                                 ;                                                   ;KEIN_EINSATZ
                                          ;                                                 ;                                                   ;ABTRETEN
                                          ;                                                 ;                                                   ;AUFLOESEN
                                          ;vermoegensTyp                                    ;enum                                               ;
                                          ;                                                 ;                                                   ;VERMOEGEN
                                          ;                                                 ;                                                   ;VERBINDLICHKEIT
                                          ;vertragsBeginn                                   ;string(date)                                       ;
                                          ;vertragsNummer                                   ;string                                             ;
                                          ;verwaltungsgebuehrenJaehrlich                    ;number                                             ;
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
                                          ;zuteilungsDatum                                  ;string(date)                                       ;
BestehendesDarlehen                       ;                                                 ;                                                   ;
                                          ;abzuloesendeRestschuld                           ;number                                             ;
                                          ;aktuelleRestschuldWennNichtAbzuloesen            ;number                                             ;
                                          ;darlehensArt                                     ;string                                             ;
                                          ;darlehensGeber                                   ;ProduktAnbieter                                    ;
                                          ;eingetrageneGrundschuld                          ;number                                             ;
                                          ;id                                               ;string                                             ;
                                          ;rateMonatlich                                    ;number                                             ;
                                          ;zinsBindungEndetAm                               ;string(date)                                       ;
BestehendesDarlehenDesFinanzierungsObjekts;                                                 ;                                                   ;
                                          ;abzuloesendeRestschuld                           ;number                                             ;
                                          ;aktuelleRestschuldWennNichtAbzuloesen            ;number                                             ;
                                          ;darlehensArt                                     ;string                                             ;
                                          ;darlehensGeber                                   ;ProduktAnbieter                                    ;
                                          ;eingetrageneGrundschuld                          ;number                                             ;
                                          ;id                                               ;string                                             ;
                                          ;rateMonatlich                                    ;number                                             ;
                                          ;verwendenAls                                     ;enum                                               ;
                                          ;                                                 ;                                                   ;ABLOESEN
                                          ;                                                 ;                                                   ;TRITT_IM_RANG_ZURUECK
                                          ;                                                 ;                                                   ;TRITT_NICHT_IM_RANG_ZURUECK
                                          ;zinsBindungEndetAm                               ;string(date)                                       ;
Charset                                   ;                                                 ;                                                   ;
                                          ;registered                                       ;boolean                                            ;
Darlehen                                  ;                                                 ;                                                   ;
                                          ;auszahlungsBetrag                                ;number                                             ;
                                          ;auszahlungsDatum                                 ;string(date)                                       ;
                                          ;auszahlungsKurs                                  ;number                                             ;
                                          ;bereitstellung                                   ;Bereitstellung                                     ;
                                          ;darlehensBetrag                                  ;number                                             ;
                                          ;darlehensTyp                                     ;enum                                               ;
                                          ;                                                 ;                                                   ;ANNUITAETEN_DARLEHEN
                                          ;                                                 ;                                                   ;FORWARD_DARLEHEN
                                          ;                                                 ;                                                   ;KFW_DARLEHEN
                                          ;                                                 ;                                                   ;PRIVAT_DARLEHEN
                                          ;                                                 ;                                                   ;ZWISCHEN_FINANZIERUNG
                                          ;                                                 ;                                                   ;VARIABLES_DARLEHEN
                                          ;detailsZurVerwendung                             ;string                                             ;
                                          ;effektivZins                                     ;number                                             ;
                                          ;effektivZinsRelevanteKosten                      ;EffektivZinsKosten                                 ;
                                          ;forwardPeriodeInMonaten                          ;integer(int32)                                     ;
                                          ;kfwEnergieEffizienzStandard                      ;string                                             ;
                                          ;kfwProgramm                                      ;string                                             ;
                                          ;konditionWurdeManuellAngepasst                   ;boolean                                            ;
                                          ;konditionsAnpassungsBegruendung                  ;string                                             ;
                                          ;laufZeitInJahren                                 ;integer(int32)                                     ;
                                          ;laufzeitInMonaten                                ;integer(int32)                                     ;
                                          ;maximaleLaufzeitInMonaten                        ;integer(int32)                                     ;
                                          ;produktAnbieter                                  ;ProduktAnbieter                                    ;
                                          ;rateMonatlich                                    ;number                                             ;
                                          ;rateMonatlichInDerTilgungsfreienAnlaufzeit       ;number                                             ;
                                          ;sollZins                                         ;number                                             ;
                                          ;tilgung                                          ;Tilgung                                            ;
                                          ;tilgungsFreieAnlaufJahre                         ;integer(int32)                                     ;
                                          ;verwendungsZweck                                 ;enum                                               ;
                                          ;                                                 ;                                                   ;VORFINANZIERUNG_OEFFENTLICHER_MITTEL
                                          ;                                                 ;                                                   ;VERKAUF_EINES_ANDEREN_OBJEKTS
                                          ;                                                 ;                                                   ;SONSTIGE_VERWENDUNG
                                          ;zinsBindung                                      ;ZinsBindung                                        ;
                                          ;zinsZahlungsBeginnAm                             ;string(date)                                       ;
Dokument                                  ;                                                 ;                                                   ;
                                          ;art                                              ;string                                             ;
                                          ;href                                             ;URI                                                ;
                                          ;name                                             ;string                                             ;
                                          ;type                                             ;MediaType                                          ;
EffektivZinsKosten                        ;                                                 ;                                                   ;
                                          ;beratungsHonorar                                 ;number                                             ;
                                          ;grundbuchKosten                                  ;number                                             ;
                                          ;sonstigeKosten                                   ;number                                             ;
                                          ;tilgungsErsatzProduktKosten                      ;number                                             ;
                                          ;wohnGebaeudeVersicherungsKosten                  ;number                                             ;
                                          ;zinsabsicherungsKosten                           ;number                                             ;
                                          ;zusatzSicherheitsKosten                          ;number                                             ;
EinkuenfteAusNebentaetigkeit              ;                                                 ;                                                   ;
                                          ;beginnDerNebentaetigkeit                         ;string(date)                                       ;
                                          ;einnahmenMonatlich                               ;number                                             ;
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
EinnahmenMonatlich                        ;                                                 ;                                                   ;
                                          ;einnahmenMonatlich                               ;number                                             ;
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
Erbbaurecht                               ;                                                 ;                                                   ;
                                          ;erbbaurechtVorhanden                             ;boolean                                            ;
                                          ;erbbauzinsJaehrlich                              ;number                                             ;
                                          ;grundstuecksEigentuemer                          ;enum                                               ;
                                          ;                                                 ;                                                   ;ANDERE
                                          ;                                                 ;                                                   ;OEFFENTLICH_KIRCHLICH
                                          ;laufzeitBisJahr                                  ;string                                             ;
FinanzierungsObjekt                       ;                                                 ;                                                   ;
                                          ;adresse                                          ;Postadresse                                        ;
                                          ;autostellplaetze                                 ;array of Autostellplatz                            ;
                                          ;bestehendeDarlehen                               ;array of BestehendesDarlehenDesFinanzierungsObjekts;
                                          ;erbbaurecht                                      ;Erbbaurecht                                        ;
                                          ;gebaeude                                         ;Gebaeude                                           ;
                                          ;grundbuchAngabe                                  ;GrundbuchAngabe                                    ;
                                          ;grundstueck                                      ;Grundstueck                                        ;
                                          ;id                                               ;string                                             ;
                                          ;objektArt                                        ;enum                                               ;
                                          ;                                                 ;                                                   ;GRUNDSTUECK
                                          ;                                                 ;                                                   ;EIGENTUMSWOHNUNG
                                          ;                                                 ;                                                   ;HAUS
                                          ;verkehrswert                                     ;number                                             ;
Flurstueck                                ;                                                 ;                                                   ;
                                          ;anteil                                           ;MiteigentumsAnteil                                 ;
                                          ;flur                                             ;string                                             ;
                                          ;flurstuecksNummer                                ;string                                             ;
                                          ;groesse                                          ;number                                             ;
Gebaeude                                  ;                                                 ;                                                   ;
                                          ;anzahlDerWohneinheitenImGebaeude                 ;integer(int32)                                     ;
                                          ;anzahlVollgeschosse                              ;integer(int32)                                     ;
                                          ;ausstattung                                      ;string                                             ;
                                          ;baujahr                                          ;string                                             ;
                                          ;bauweise                                         ;string                                             ;
                                          ;gewerbeflaeche                                   ;GebaeudeFlaeche                                    ;
                                          ;modernisierungsAngaben                           ;ModernisierungsAngaben                             ;
                                          ;wohnflaeche                                      ;GebaeudeFlaeche                                    ;
GebaeudeFlaeche                           ;                                                 ;                                                   ;
                                          ;gesamtGrosse                                     ;number                                             ;
                                          ;vermietungsInformationen                         ;VermietungsInformationen                           ;
GrundbuchAngabe                           ;                                                 ;                                                   ;
                                          ;anmerkungen                                      ;string                                             ;
                                          ;bandUndBlatt                                     ;string                                             ;
                                          ;flurstuecke                                      ;array of Flurstueck                                ;
                                          ;ort                                              ;string                                             ;
                                          ;rechteInAbteilung2                               ;RechteAbteilung2                                   ;
Grundstueck                               ;                                                 ;                                                   ;
                                          ;groesse                                          ;number                                             ;
                                          ;grundstuecksArt                                  ;enum                                               ;
                                          ;                                                 ;                                                   ;UNBEBAUTES_WOHNGRUNDSTUECK
                                          ;                                                 ;                                                   ;UNBEBAUTES_MISCHGRUNDSTUECK
                                          ;                                                 ;                                                   ;UNBEBAUTES_GEWERBEGRUNDSTUECK
                                          ;                                                 ;                                                   ;LANDWIRTSCHAFTLICHES_GRUNDSTUECK
                                          ;                                                 ;                                                   ;SONSTIGES_GRUNDSTUECK
Haushalt                                  ;                                                 ;                                                   ;
                                          ;antragsteller                                    ;array of Antragsteller                             ;
                                          ;anzahlErwachseneImHaushalt                       ;integer(int32)                                     ;
                                          ;anzahlKinderNichtImHaushalt                      ;integer(int32)                                     ;
                                          ;bestehendeImmobilien                             ;array of BestehendeImmobilie                       ;
                                          ;kfzAnzahl                                        ;integer(int32)                                     ;
                                          ;kinder                                           ;array of Kind                                      ;
                                          ;lebenshaltungsKostenMonatlich                    ;number                                             ;
                                          ;positionen                                       ;HaushaltsPositionen                                ;
HaushaltsPositionen                       ;                                                 ;                                                   ;
                                          ;bankUndSparguthaben                              ;array of BankUndSparguthaben                       ;
                                          ;bausparvertraege                                 ;array of BestehenderBausparvertrag                 ;
                                          ;ehegattenUnterhalt                               ;array of EinnahmenMonatlich                        ;
                                          ;einkuenfteAusNebentaetigkeit                     ;array of EinkuenfteAusNebentaetigkeit              ;
                                          ;kindergeld                                       ;array of EinnahmenMonatlich                        ;
                                          ;lebensUndRentenVersicherungen                    ;array of LebensOderRentenversicherungVermoegen     ;
                                          ;mietAusgaben                                     ;array of MietAusgaben                              ;
                                          ;privateDarlehen                                  ;array of Verbindlichkeit                           ;
                                          ;privateKrankenversicherung                       ;array of AusgabenMonatlich                         ;
                                          ;ratenkredite                                     ;array of Verbindlichkeit                           ;
                                          ;sonstigeAusgaben                                 ;array of AusgabenMonatlich                         ;
                                          ;sonstigeEinnahmen                                ;array of EinnahmenMonatlich                        ;
                                          ;sonstigeVerbindlichkeiten                        ;array of Verbindlichkeit                           ;
                                          ;sonstigeVermoegen                                ;array of Vermoegen                                 ;
                                          ;sparplaene                                       ;array of Sparplaene                                ;
                                          ;unbefristeteZusatzRenten                         ;array of EinnahmenMonatlich                        ;
                                          ;unterhaltsVerpflichtungen                        ;array of AusgabenMonatlich                         ;
                                          ;variableEinkuenfte                               ;array of EinnahmenMonatlich                        ;
                                          ;versicherungsAusgaben                            ;array of AusgabenMonatlich                         ;
                                          ;wertpapiere                                      ;array of Wertpapiere                               ;
ImmobilieVerknuepfung                     ;                                                 ;                                                   ;
                                          ;id                                               ;string                                             ;
Kapitalbeschaffung                        ;                                                 ;                                                   ;
                                          ;betrag                                           ;number                                             ;
                                          ;verwendungKommentar                              ;string                                             ;
Kauf                                      ;                                                 ;                                                   ;
                                          ;bereitsBeglicheneKosten                          ;number                                             ;
                                          ;kaufpreis                                        ;number                                             ;
                                          ;mobiliarKosten                                   ;number                                             ;
                                          ;modernisierungsKostenInklEigenleistungen         ;number                                             ;
                                          ;nebenkosten                                      ;Nebenkosten                                        ;
                                          ;renovierungsKosten                               ;number                                             ;
                                          ;sonstigeKosten                                   ;number                                             ;
KaufNeubauVomBautraeger                   ;                                                 ;                                                   ;
                                          ;anzahlTeilzahlungen                              ;integer(int32)                                     ;
                                          ;bereitsBeglicheneKosten                          ;number                                             ;
                                          ;kaufpreisInklEigenleistungen                     ;number                                             ;
                                          ;mobiliarKosten                                   ;number                                             ;
                                          ;nebenkosten                                      ;Nebenkosten                                        ;
                                          ;sonstigeKosten                                   ;number                                             ;
Kind                                      ;                                                 ;                                                   ;
                                          ;geburtsdatum                                     ;string(date)                                       ;
                                          ;kindergeldWirdBezogen                            ;boolean                                            ;
                                          ;name                                             ;string                                             ;
                                          ;unterhaltsEinnahmenBetragMonatlich               ;number                                             ;
LebensOderRentenversicherungVermoegen     ;                                                 ;                                                   ;
                                          ;id                                               ;string                                             ;
                                          ;maximalAufzuloesenderBetrag                      ;number                                             ;
                                          ;praemieMonatlich                                 ;number                                             ;
                                          ;rueckkaufsWertAktuell                            ;number                                             ;
                                          ;tarif                                            ;string                                             ;
                                          ;typ                                              ;enum                                               ;
                                          ;                                                 ;                                                   ;KAPITALBILDENDE_LEBENSVERSICHERUNG
                                          ;                                                 ;                                                   ;FONDSGEBUNDENE_LEBENSVERSICHERUNG
                                          ;                                                 ;                                                   ;KAPITALBILDENDE_RENTENVERSICHERUNG
                                          ;                                                 ;                                                   ;FONDSGEBUNDENE_RENTENVERSICHERUNG
                                          ;                                                 ;                                                   ;RISIKO_LEBENSVERSICHERUNG
                                          ;vermoegensEinsatz                                ;enum                                               ;
                                          ;                                                 ;                                                   ;KEIN_EINSATZ
                                          ;                                                 ;                                                   ;ABTRETEN
                                          ;                                                 ;                                                   ;AUFLOESEN
                                          ;vermoegensTyp                                    ;enum                                               ;
                                          ;                                                 ;                                                   ;VERMOEGEN
                                          ;                                                 ;                                                   ;VERBINDLICHKEIT
                                          ;versicherungsGesellschaft                        ;string                                             ;
                                          ;versicherungsSumme                               ;number                                             ;
                                          ;vertragsBeginn                                   ;string(date)                                       ;
                                          ;vertragsEnde                                     ;string(date)                                       ;
                                          ;vertragsNummer                                   ;string                                             ;
                                          ;verwaltungsgebuehrenJaehrlich                    ;number                                             ;
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
LegitimationsDaten                        ;                                                 ;                                                   ;
                                          ;ausstellendeBehoerde                             ;string                                             ;
                                          ;ausstellungsdatum                                ;string(date)                                       ;
                                          ;ausweisArt                                       ;enum                                               ;
                                          ;                                                 ;                                                   ;PERSONALAUSWEIS
                                          ;                                                 ;                                                   ;REISEPASS
                                          ;                                                 ;                                                   ;ANDERE
                                          ;ausweisArtBeiAndererAusweis                      ;string                                             ;
                                          ;ausweisNummer                                    ;string                                             ;
Link                                      ;                                                 ;                                                   ;
                                          ;href                                             ;URI                                                ;
                                          ;type                                             ;MediaType                                          ;
Links                                     ;                                                 ;                                                   ;
                                          ;self                                             ;Link                                               ;
MediaType                                 ;                                                 ;                                                   ;
                                          ;charSet                                          ;Charset                                            ;
                                          ;charset                                          ;Charset                                            ;
                                          ;concrete                                         ;boolean                                            ;
                                          ;parameters                                       ;< string, string > map                             ;
                                          ;qualityValue                                     ;number(double)                                     ;
                                          ;subtype                                          ;string                                             ;
                                          ;type                                             ;string                                             ;
                                          ;wildcardSubtype                                  ;boolean                                            ;
                                          ;wildcardType                                     ;boolean                                            ;
Meldung                                   ;                                                 ;                                                   ;
                                          ;kategorie                                        ;string                                             ;
                                          ;kreditEntscheider                                ;ProduktAnbieter                                    ;
                                          ;produktAnbieter                                  ;ProduktAnbieter                                    ;
                                          ;text                                             ;string                                             ;
MietAusgaben                              ;                                                 ;                                                   ;
